FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200804;0000;39;;;
200805;0000;24;;;
200806;0000;59;;;
200807;0000;92;;;
200808;0000;69;;;
200809;0000;27;;;
200810;0000;46;;;
200811;0000;56;;;
200812;0000;53;;;
200813;0000;17;;;
200814;0000;24;;;
200815;0000;29;;;
200816;0000;33;;;
200817;0000;27;;;
200818;0000;56;;;
200819;0000;60;;;
200820;0000;40;;;
200821;0000;64;;;
200822;0000;98;;;
200823;0000;24;;;
200824;0000;12;;;
200825;0000;6;;;
200826;0000;9;;;
200827;0000;16;;;
200828;0000;36;;;
200829;0000;95;;;
200830;0000;64;;;
200831;0000;50;;;
200901;0000;61;;;
200902;0000;37;;;
200903;0000;48;;;
200904;0000;94;;;
200905;0000;82;;;
200906;0000;54;;;
200907;0000;34;;;
200908;0000;22;;;
200909;0000;22;;;
200910;0000;32;;;
200911;0000;32;;;
200912;0000;35;;;
200913;0000;47;;;
200914;0000;32;;;
200915;0000;19;;;
200916;0000;16;;;
200917;0000;29;;;
200918;0000;48;;;
200919;0000;39;;;
200920;0000;22;;;
200921;0000;12;;;
200922;0000;19;;;
200923;0000;29;;;
200924;0000;29;;;
200925;0000;41;;;
200926;0000;20;;;
200927;0000;20;;;
200928;0000;17;;;
200929;0000;9;;;
200930;0000;22;;;
201001;0000;34;;;
201002;0000;25;;;
201003;0000;42;;;
201004;0000;31;;;
201005;0000;40;;;
201006;0000;36;;;
201007;0000;33;;;
201008;0000;22;;;
201009;0000;14;;;
201010;0000;11;;;
201011;0000;12;;;
201012;0000;9;;;
201013;0000;7;;;
201014;0000;10;;;
201015;0000;11;;;
201016;0000;16;;;
201017;0000;15;;;
201018;0000;14;;;
201019;0000;13;;;
201020;0000;10;;;
201021;0000;10;;;
201022;0000;12;;;
201023;0000;11;;;
201024;0000;25;;;
201025;0000;23;;;
201026;0000;18;;;
201027;0000;8;;;
201028;0000;14;;;
201029;0000;13;;;
201030;0000;11;;;
201031;0000;6;;;
201101;0000;6;;;
201102;0000;8;;;
201103;0000;8;;;
201104;0000;9;;;
201105;0000;9;;;
201106;0000;5;;;
201107;0000;7;;;
201108;0000;6;;;
201109;0000;7;;;
201110;0000;7;;;
201111;0000;7;;;
201112;0000;4;;;
201113;0000;9;;;
201114;0000;10;;;
201115;0000;7;;;
201116;0000;6;;;
201117;0000;6;;;
201118;0000;5;;;
201119;0000;4;;;
201120;0000;16;;;
201121;0000;9;;;
201122;0000;8;;;
201123;0000;8;;;
201124;0000;11;;;
201125;0000;10;;;
201126;0000;11;;;
201127;0000;5;;;
201128;0000;6;;;
201129;0000;6;;;
201130;0000;5;;;
201201;0000;6;;;
201202;0000;5;;;
201203;0000;7;;;
201204;0000;8;;;
201205;0000;9;;;
201206;0000;6;;;
201207;0000;4;;;
201208;0000;6;;;
201209;0000;6;;;
201210;0000;6;;;
201211;0000;8;;;
201212;0000;5;;;
201213;0000;6;;;
201214;0000;6;;;
201215;0000;6;;;
201216;0000;5;;;
201217;0000;5;;;
201218;0000;5;;;
201219;0000;3;;;
201220;0000;3;;;
201221;0000;4;;;
201222;0000;3;;;
201223;0000;4;;;
201224;0000;4;;;
201225;0000;3;;;
201226;0000;3;;;
201227;0000;2;;;
201228;0000;3;;;
201229;0000;4;;;
201230;0000;5;;;
201231;0000;5;;;
210101;0000;7;;;
210102;0000;5;;;
210103;0000;5;;;
210104;0000;6;;;
210105;0000;10;;;
210106;0000;6;;;
210107;0000;4;;;
210108;0000;5;;;
210109;0000;6;;;
210110;0000;4;;;
210111;0000;4;;;
210112;0000;5;;;
210113;0000;5;;;
210114;0000;5;;;
210115;0000;4;;;
210116;0000;3;;;
210117;0000;4;;;
210118;0000;3;;;
210119;0000;4;;;
210120;0000;5;;;
210121;0000;3;;;
210122;0000;4;;;
210123;0000;3;;;
210124;0000;5;;;
210125;0000;4;;;
210126;0000;4;;;
210127;0000;3;;;
210128;0000;;;8;
210129;0000;;;3;
210130;0000;;;2;
210131;0000;;;3;
210201;0000;6;;;
210202;0000;5;;;
210203;0000;6;;;
210204;0000;7;;;
210205;0000;11;;;
210206;0000;6;;;
210207;0000;6;;;
210208;0000;6;;;
210209;0000;7;;;
210210;0000;9;;;
210211;0000;3;;;
210212;0000;4;;;
210213;0000;6;;;
210214;0000;5;;;
210215;0000;6;;;
210216;0000;6;;;
210217;0000;5;;;
210218;0000;7;;;
210219;0000;6;;;
210220;0000;6;;;
210221;0000;4;;;
210222;0000;4;;;
210223;0000;5;;;
210224;0000;6;;;
210225;0000;5;;;
210226;0000;3;;;
210227;0000;4;;;
210228;0000;3;;;
210301;0000;2;;;
210302;0000;4;;;
210303;0000;4;;;
210304;0000;4;;;
210305;0000;8;;;
210306;0000;4;;;
210307;0000;4;;;
210308;0000;4;;;
210309;0000;9;;;
210310;0000;14;;;
210311;0000;8;;;
210312;0000;5;;;
210313;0000;8;;;
210314;0000;10;;;
210315;0000;9;;;
210316;0000;11;;;
210317;0000;10;;;
210318;0000;12;;;
210319;0000;13;;;
210320;0000;10;;;
210321;0000;10;;;
210322;0000;9;;;
210323;0000;6;;;
210324;0000;8;;;
210325;0000;12;;;
210326;0000;14;;;
210327;0000;12;;;
210328;0000;8;;;
210329;0000;14;;;
210330;0000;11;;;
210331;0000;8;;;
210401;0000;4;;;
210402;0000;7;;;
210403;0000;25;;;
210404;0000;30;;;
210405;0000;9;;;
210406;0000;19;;;
210407;0000;19;;;
210408;0000;18;;;
210409;0000;22;;;
210410;0000;28;;;
210411;0000;19;;;
210412;0000;17;;;
210413;0000;6;;;
210414;0000;9;;;
210415;0000;16;;;
210416;0000;18;;;
210417;0000;33;;;
210418;0000;33;;;
210419;0000;15;;;
210420;0000;12;;;
210421;0000;13;;;
210422;0000;32;;;
210423;0000;34;;;
210424;0000;21;;;
210425;0000;24;;;
210426;0000;19;;;
210427;0000;29;;;
210428;0000;21;;;
210429;0000;38;;;
210430;0000;26;;;
210501;0000;9;;;
210502;0000;37;;;
210503;0000;94;;;
210504;0000;79;;;
210505;0000;101;;;
210506;0000;101;;;
210507;0000;85;;;
210508;0000;40;;;
210509;0000;28;;;
210510;0000;41;;;
210511;0000;106;;;
210512;0000;109;;;
210513;0000;102;;;
210514;0000;78;;;
210515;0000;47;;;
210516;0000;77;;;
210517;0000;144;;;
210518;0000;44;;;
210519;0000;15;;;
210520;0000;24;;;
210521;0000;29;;;
210522;0000;58;;;
210523;0000;53;;;
210524;0000;13;;;
210525;0000;16;;;
210526;0000;16;;;
210527;0000;11;;;
210528;0000;15;;;
210529;0000;51;;;
210530;0000;22;;;
210531;0000;6;;;
210601;0000;16;;;
210602;0000;29;;;
210603;0000;15;;;
210604;0000;40;;;
210605;0000;50;;;
210606;0000;48;;;
210607;0000;22;;;
210608;0000;26;;;
210609;0000;23;;;
210610;0000;;;;
210611;0000;;;;
210612;0000;21;;;
210613;0000;76;;;
210614;0000;87;;;
210615;0000;66;;;
210616;0000;140;;;
210617;0000;153;;;
210618;0000;83;;;
210619;0000;79;;;
210620;0000;75;;;
210621;0000;35;;;
210622;0000;14;;;
210623;0000;12;;;
210624;0000;33;;;
210625;0000;66;;;
210626;0000;57;;;
210627;0000;89;;;
210628;0000;101;;;
210629;0000;157;;;
210630;0000;117;;;
210701;0000;77;;;
210702;0000;46;;;
210703;0000;56;;;
210704;0000;47;;;
210705;0000;53;;;
210706;0000;17;;;
210707;0000;32;;;
210708;0000;23;;;
210709;0000;28;;;
210710;0000;80;;;
210711;0000;127;;;
210712;0000;113;;;
210713;0000;64;;;
210714;0000;30;;;
210715;0000;33;;;
210716;0000;41;;;
210717;0000;104;;;
210718;0000;152;;;
210719;0000;71;;;
210720;0000;65;;;
210721;0000;29;;;
210722;0000;27;;;
210723;0000;49;;;
210724;0000;39;;;
210725;0000;28;;;
210726;0000;76;;;
210727;0000;98;;;
210728;0000;125;;;
210729;0000;139;;;
210730;0000;54;;;
210731;0000;109;;;
210801;0000;84;;;
210802;0000;34;;;
210803;0000;39;;;
210804;0000;65;;;
210805;0000;30;;;
210806;0000;33;;;
210807;0000;38;;;
210808;0000;54;;;
210809;0000;89;;;
210810;0000;81;;;
210811;0000;75;;;
210812;0000;72;;;
210813;0000;39;;;
210814;0000;38;;;
210815;0000;34;;;
210816;0000;13;;;
210817;0000;15;;;
210818;0000;21;;;
210819;0000;11;;;
210820;0000;14;;;
210821;0000;6;;;
210822;0000;20;;;
210823;0000;68;;;
210824;0000;63;;;
210825;0000;12;;;
210826;0000;22;;;
210827;0000;16;;;
210828;0000;9;;;
210829;0000;27;;;
210830;0000;18;;;
210831;0000;34;;;
210901;0000;41;;;
210902;0000;29;;;
210903;0000;24;;;
210904;0000;13;;;
210905;0000;24;;;
210906;0000;15;;;
210907;0000;28;;;
210908;0000;36;;;
210909;0000;28;;;
210910;0000;32;;;
210911;0000;14;;;
210912;0000;13;;;
210913;0000;38;;;
210914;0000;31;;;
210915;0000;32;;;
210916;0000;29;;;
210917;0000;20;;;
210918;0000;29;;;
210919;0000;29;;;
210920;0000;35;;;
210921;0000;25;;;
210922;0000;20;;;
210923;0000;28;;;
210924;0000;20;;;
210925;0000;14;;;
210926;0000;22;;;
210927;0000;23;;;
210928;0000;22;;;
210929;0000;21;;;
210930;0000;10;;;
211001;0000;10;;;
211002;0000;25;;;
211003;0000;48;;;
211004;0000;19;;;
211005;0000;26;;;
211006;0000;29;;;
211007;0000;17;;;
211008;0000;21;;;
211009;0000;11;;;
211010;0000;16;;;
211011;0000;15;;;
211012;0000;18;;;
211013;0000;11;;;
211014;0000;23;;;
211015;0000;27;;;
211016;0000;27;;;
211017;0000;18;;;
211018;0000;8;;;
211019;0000;10;;;
211020;0000;8;;;
211021;0000;9;;;
211022;0000;15;;;
211023;0000;9;;;
211024;0000;9;;;
211025;0000;14;;;
211026;0000;11;;;
211027;0000;7;;;
211028;0000;6;;;
211029;0000;7;;;
211030;0000;9;;;
211031;0000;13;;;
211101;0000;9;;;
211102;0000;7;;;
211103;0000;10;;;
211104;0000;11;;;
211105;0000;7;;;
211106;0000;7;;;
211107;0000;5;;;
211108;0000;5;;;
211109;0000;5;;;
211110;0000;6;;;
211111;0000;7;;;
211112;0000;8;;;
211113;0000;8;;;
211114;0000;9;;;
211115;0000;9;;;
211116;0000;7;;;
211117;0000;4;;;
211118;0000;4;;;
211119;0000;6;;;
211120;0000;4;;;
211121;0000;4;;;
211122;0000;3;;;
211123;0000;4;;;
211124;0000;6;;;
211125;0000;5;;;
211126;0000;5;;;
211127;0000;6;;;
211128;0000;6;;;
211129;0000;4;;;
211130;0000;6;;;
211201;0000;6;;;
211202;0000;8;;;
211203;0000;9;;;
211204;0000;7;;;
211205;0000;7;;;
211206;0000;8;;;
211207;0000;11;;;
211208;0000;8;;;
211209;0000;7;;;
211210;0000;6;;;
211211;0000;6;;;
211212;0000;6;;;
211213;0000;5;;;
211214;0000;3;;;
211215;0000;6;;;
211216;0000;5;;;
211217;0000;7;;;
211218;0000;5;;;
211219;0000;5;;;
211220;0000;5;;;
211221;0000;8;;;
211222;0000;8;;;
211223;0000;3;;;
211224;0000;5;;;
211225;0000;5;;;
211226;0000;4;;;
211227;0000;2;;;
211228;0000;3;;;
211229;0000;3;;;
211230;0000;4;;;
211231;0000;6;;;
220101;0000;4;;;
220102;0000;3;;;
220103;0000;1;;;
220104;0000;7;;;
220105;0000;6;;;
220106;0000;5;;;
220107;0000;3;;;
220108;0000;3;;;
220109;0000;3;;;
220110;0000;4;;;
220111;0000;5;;;
220112;0000;4;;;
220113;0000;5;;;
220114;0000;5;;;
220115;0000;4;;;
220116;0000;5;;;
220117;0000;5;;;
220118;0000;6;;;
220119;0000;5;;;
220120;0000;5;;;
220121;0000;6;;;
220122;0000;7;;;
220123;0000;7;;;
220124;0000;;;3;
220125;0000;;;3;
220126;0000;;;2;
220127;0000;;;4;
220128;0000;6;;;
220129;0000;6;;;
220130;0000;6;;;
220131;0000;6;;;
220201;0000;5;;;
220202;0000;4;;;
220203;0000;4;;;
220204;0000;4;;;
220205;0000;5;;;
220206;0000;6;;;
220207;0000;4;;;
220208;0000;4;;;
220209;0000;10;;;
220210;0000;11;;;
220211;0000;9;;;
220212;0000;13;;;
220213;0000;20;;;
220214;0000;11;;;
220215;0000;10;;;
220216;0000;5;;;
220217;0000;6;;;
220218;0000;6;;;
220219;0000;2;;;
220220;0000;5;;;
220221;0000;15;;;
220222;0000;45;;;
220223;0000;23;;;
220224;0000;11;;;
220225;0000;9;;;
220226;0000;4;;;
220227;0000;5;;;
220228;0000;8;;;
220301;0000;9;;;
220302;0000;4;;;
220303;0000;4;;;
220304;0000;6;;;
220305;0000;7;;;
220306;0000;8;;;
220307;0000;4;;;
220308;0000;12;;;
220309;0000;11;;;
220310;0000;7;;;
220311;0000;7;;;
220312;0000;8;;;
220313;0000;7;;;
220314;0000;9;;;
220315;0000;13;;;
220316;0000;14;;;
220317;0000;9;;;
220318;0000;14;;;
220319;0000;27;;;
220320;0000;20;;;
220321;0000;8;;;
220322;0000;6;;;
220323;0000;11;;;
220324;0000;19;;;
220325;0000;12;;;
220326;0000;12;;;
220327;0000;13;;;
220328;0000;17;;;
220329;0000;17;;;
220330;0000;31;;;
220331;0000;21;;;
220401;0000;16;;;
220402;0000;11;;;
220403;0000;21;;;
220404;0000;34;;;
220405;0000;24;;;
220406;0000;20;;;
220407;0000;17;;;
220408;0000;10;;;
220409;0000;20;;;
220410;0000;19;;;
220411;0000;24;;;
220412;0000;24;;;
220413;0000;48;;;
220414;0000;27;;;
220415;0000;25;;;
220416;0000;17;;;
220417;0000;42;;;
220418;0000;40;;;
220419;0000;28;;;
220420;0000;28;;;
220421;0000;23;;;
220422;0000;10;;;
220423;0000;17;;;
220424;0000;16;;;
220425;0000;11;;;
220426;0000;15;;;
220427;0000;20;;;
220428;0000;57;;;
220429;0000;67;;;
220430;0000;83;;;
220501;0000;66;;;
220502;0000;28;;;
220503;0000;37;;;
220504;0000;18;;;
220505;0000;33;;;
220506;0000;42;;;
220507;0000;20;;;
220508;0000;37;;;
220509;0000;24;;;
220510;0000;24;;;
220511;0000;56;;;
220512;0000;42;;;
220513;0000;64;;;
220514;0000;80;;;
220515;0000;86;;;
220516;0000;74;;;
220517;0000;99;;;
220518;0000;70;;;
220519;0000;21;;;
220520;0000;22;;;
220521;0000;21;;;
220522;0000;32;;;
220523;0000;52;;;
220524;0000;34;;;
220525;0000;46;;;
220526;0000;113;;;
220527;0000;128;;;
220528;0000;127;;;
220529;0000;89;;;
220530;0000;123;;;
220531;0000;75;;;
220601;0000;140;;;
220602;0000;66;;;
220603;0000;20;;;
220604;0000;49;;;
220605;0000;12;;;
220606;0000;11;;;
220607;0000;25;;;
220608;0000;27;;;
220609;0000;104;;;
220610;0000;162;;;
220611;0000;133;;;
220612;0000;69;;;
220613;0000;34;;;
220614;0000;38;;;
220615;0000;48;;;
220616;0000;16;;;
220617;0000;59;;;
220618;0000;61;;;
220619;0000;21;;;
220620;0000;32;;;
220621;0000;58;;;
220622;0000;98;;;
220623;0000;44;;;
220624;0000;68;;;
220625;0000;131;;;
220626;0000;86;;;
220627;0000;60;;;
220628;0000;8;;;
220629;0000;22;;;
220630;0000;31;;;
220701;0000;23;;;
220702;0000;27;;;
220703;0000;20;;;
220704;0000;11;;;
220705;0000;14;;;
220706;0000;14;;;
220707;0000;57;;;
220708;0000;17;;;
220709;0000;18;;;
220710;0000;30;;;
220711;0000;23;;;
220712;0000;34;;;
220713;0000;37;;;
220714;0000;40;;;
220715;0000;78;;;
220716;0000;31;;;
220717;0000;26;;;
220718;0000;81;;;
220719;0000;80;;;
220720;0000;26;;;
220721;0000;41;;;
220722;0000;12;;;
220723;0000;37;;;
220724;0000;48;;;
220725;0000;18;;;
220726;0000;14;;;
220727;0000;46;;;
220728;0000;66;;;
220729;0000;40;;;
220730;0000;62;;;
220731;0000;61;;;
220801;0000;71;;;
220802;0000;87;;;
220803;0000;33;;;
220804;0000;35;;;
220805;0000;45;;;
220806;0000;44;;;
220807;0000;27;;;
220808;0000;43;;;
220809;0000;73;;;
220810;0000;34;;;
220811;0000;42;;;
220812;0000;17;;;
220813;0000;15;;;
220814;0000;21;;;
220815;0000;9;;;
220816;0000;12;;;
220817;0000;24;;;
220818;0000;61;;;
220819;0000;63;;;
220820;0000;18;;;
220821;0000;29;;;
220822;0000;30;;;
220823;0000;19;;;
220824;0000;39;;;
220825;0000;67;;;
220826;0000;50;;;
220827;0000;36;;;
220828;0000;83;;;
220829;0000;69;;;
220830;0000;36;;;
220831;0000;22;;;
220901;0000;23;;;
220902;0000;31;;;
220903;0000;27;;;
220904;0000;16;;;
220905;0000;39;;;
220906;0000;16;;;
220907;0000;31;;;
220908;0000;33;;;
220909;0000;37;;;
220910;0000;32;;;
220911;0000;18;;;
220912;0000;27;;;
220913;0000;37;;;
220914;0000;32;;;
220915;0000;18;;;
220916;0000;20;;;
220917;0000;22;;;
220918;0000;29;;;
220919;0000;36;;;
220920;0000;35;;;
220921;0000;19;;;
220922;0000;19;;;
220923;0000;15;;;
220924;0000;22;;;
220925;0000;22;;;
220926;0000;15;;;
220927;0000;24;;;
220928;0000;19;;;
220929;0000;9;;;
220930;0000;10;;;
221001;0000;10;;;
221002;0000;18;;;
221003;0000;13;;;
221004;0000;21;;;
221005;0000;17;;;
221006;0000;9;;;
221007;0000;13;;;
221008;0000;26;;;
221009;0000;22;;;
221010;0000;9;;;
221011;0000;12;;;
221012;0000;12;;;
221013;0000;25;;;
221014;0000;16;;;
221015;0000;11;;;
221016;0000;7;;;
221017;0000;10;;;
221018;0000;14;;;
221019;0000;10;;;
221020;0000;13;;;
221021;0000;9;;;
221022;0000;16;;;
221023;0000;13;;;
221024;0000;13;;;
221025;0000;9;;;
221026;0000;7;;;
221027;0000;10;;;
221028;0000;8;;;
221029;0000;;;;
221030;0000;14;;;
221031;0000;11;;;
221101;0000;10;;;
221102;0000;13;;;
221103;0000;8;;;
221104;0000;9;;;
221105;0000;12;;;
221106;0000;6;;;
221107;0000;;;8;
221108;0000;;;8;
221109;0000;9;;;
221110;0000;4;;;
221111;0000;4;;;
221112;0000;3;;;
221113;0000;3;;;
221114;0000;5;;;
221115;0000;5;;;
221116;0000;4;;;
221117;0000;3;;;
221118;0000;3;;;
221119;0000;4;;;
221120;0000;5;;;
221121;0000;5;;;
221122;0000;5;;;
221123;0000;2;;;
221124;0000;4;;;
221125;0000;7;;;
221126;0000;7;;;
221127;0000;8;;;
221128;0000;7;;;
221129;0000;3;;;
221130;0000;6;;;
221201;0000;7;;;
221202;0000;5;;;
221203;0000;4;;;
221204;0000;4;;;
221205;0000;4;;;
221206;0000;5;;;
221207;0000;8;;;
221208;0000;3;;;
221209;0000;4;;;
221210;0000;5;;;
221211;0000;5;;;
221212;0000;4;;;
221213;0000;3;;;
221214;0000;4;;;
221215;0000;5;;;
221216;0000;6;;;
221217;0000;4;;;
221218;0000;4;;;
221219;0000;;10;;
221220;0000;6;;;
221221;0000;5;;;
221222;0000;;;;
221223;0000;;;;
221224;0000;;;;
221225;0000;;;;
221226;0000;;;;
221227;0000;;;;
221228;0000;;;;
221229;0000;;;;
221230;0000;;;;
221231;0000;;;;
230101;0000;;;;
230102;0000;;;;
230103;0000;;;;
230104;0000;;;;
230105;0000;;;;
230106;0000;;;;
230107;0000;;;;
230108;0000;;;;
230109;0000;;;;
230110;0000;;;;
230111;0000;;;;
230112;0000;;;;
230113;0000;;;;
230114;0000;;;;
230115;0000;;;;
230116;0000;;;;
230117;0000;;;;
230118;0000;;;;
230119;0000;;;;
230120;0000;;;;
230121;0000;3;;;
230122;0000;3;;;
230123;0000;5;;;
230124;0000;4;;;
230125;0000;4;;;
230126;0000;4;;;
230127;0000;;;4;
230128;0000;;;2;
230129;0000;;;2;
230130;0000;;;4;
230131;0000;8;;;
230201;0000;8;;;
230202;0000;6;;;
230203;0000;6;;;
230204;0000;16;;;
230205;0000;12;;;
230206;0000;10;;;
230207;0000;13;;;
230208;0000;5;;;
230209;0000;8;;;
230210;0000;5;;;
230211;0000;5;;;
230212;0000;6;;;
230213;0000;5;;;
230214;0000;8;;;
230215;0000;5;;;
230216;0000;9;;;
230217;0000;8;;;
230218;0000;9;;;
230219;0000;9;;;
230220;0000;8;;;
230221;0000;9;;;
230222;0000;7;;;
230223;0000;4;;;
230224;0000;6;;;
230225;0000;7;;;
230226;0000;10;;;
230227;0000;6;;;
230228;0000;6;;;
230301;0000;6;;;
230302;0000;7;;;
230303;0000;6;;;
230304;0000;8;;;
230305;0000;5;;;
230306;0000;7;;;
230307;0000;9;;;
230308;0000;6;;;
230309;0000;12;;;
230310;0000;16;;;
230311;0000;10;;;
230312;0000;7;;;
230313;0000;7;;;
230314;0000;7;;;
230315;0000;8;;;
230316;0000;8;;;
230317;0000;12;;;
230318;0000;9;;;
230319;0000;8;;;
230320;0000;8;;;
230321;0000;14;;;
230322;0000;10;;;
230323;0000;10;;;
230324;0000;12;;;
230325;0000;15;;;
230326;0000;12;;;
230327;0000;22;;;
230328;0000;16;;;
230329;0000;12;;;
230330;0000;20;;;
230331;0000;26;;;
230401;0000;36;;;
230402;0000;11;;;
230403;0000;16;;;
230404;0000;23;;;
230405;0000;25;;;
230406;0000;14;;;
230407;0000;22;;;
230408;0000;25;;;
230409;0000;35;;;
230410;0000;31;;;
230411;0000;8;;;
230412;0000;11;;;
230413;0000;17;;;
230414;0000;11;;;
230415;0000;19;;;
230416;0000;14;;;
230417;0000;19;;;
230418;0000;20;;;
230419;0000;14;;;
230420;0000;12;;;
230421;0000;17;;;
230422;0000;9;;;
230423;0000;14;;;
230424;0000;12;;;
230425;0000;24;;;
230426;0000;18;;;
230427;0000;20;;;
230428;0000;6;;;
230429;0000;6;;;
230430;0000;15;;;
230501;0000;26;;;
230502;0000;28;;;
230503;0000;18;;;
230504;0000;26;;;
230505;0000;14;;;
230506;0000;19;;;
230507;0000;16;;;
230508;0000;27;;;
230509;0000;19;;;
230510;0000;26;;;
230511;0000;29;;;
230512;0000;20;;;
230513;0000;15;;;
230514;0000;23;;;
230515;0000;18;;;
230516;0000;10;;;
230517;0000;14;;;
230518;0000;14;;;
230519;0000;28;;;
230520;0000;29;;;
230521;0000;9;;;
230522;0000;10;;;
230523;0000;9;;;
230524;0000;11;;;
230525;0000;9;;;
230526;0000;16;;;
230527;0000;41;;;
230528;0000;96;;;
230529;0000;96;;;
230530;0000;58;;;
230531;0000;62;;;
230601;0000;27;;;
230602;0000;19;;;
230603;0000;26;;;
230604;0000;85;;;
230605;0000;43;;;
230606;0000;49;;;
230607;0000;49;;;
230608;0000;13;;;
230609;0000;19;;;
230610;0000;65;;;
230611;0000;116;;;
230612;0000;116;;;
230613;0000;143;;;
230614;0000;110;;;
230615;0000;87;;;
230616;0000;58;;;
230617;0000;116;;;
230618;0000;119;;;
230619;0000;158;;;
230620;0000;97;;;
230621;0000;41;;;
